学号,选择题1-10,填空题11-16,17,18,19,20,21,22,23,24,25,26,27,总分
0,20,12,6,6,6,6,6,6,6,6,6,7,7,100
3130001114,8,0,3,0,0,1,1,0,0,0,0,3,3,19
3131000113,0,1,0,0,2,0,0,0,0,1,0,0,0,4
3131000542,8,1,0,0,0,2,1,0,0,0,0,3,3,18
4140001106,10,4,0,0,5,0,1,0,0,0,0,5,3,28
4140001129,4,0,0,0,3,0,0,0,0,0,0,0,0,7
4140002125,8,7,3,6,6,2,5,2,4,0,0,4,0,47
4141000120,10,2,0,0,0,0,0,0,0,0,0,3,3,18
4141000138,6,0,0,0,0,0,0,0,0,0,0,0,3,9
4141000139,0,0,0,0,6,0,0,0,0,0,0,0,0,6
4141000801,8,2,0,0,0,0,1,0,0,0,0,0,3,14
4141000907,8,0,0,1,4,0,2,0,0,0,0,3,3,21
4141441120,6,4,3,2,6,0,3,0,6,0,0,3,3,36
5150002110,12,6,1,4,6,5,4,4,4,2,0,3,0,51
5150002112,12,4,0,6,6,5,3,6,6,5,6,3,3,65
5150002125,16,4,6,4,5,6,6,5,6,2,5,0,3,68
5151000639,2,0,0,0,0,0,0,0,0,0,0,0,0,2
5151000825,8,6,0,2,2,0,0,0,0,0,0,5,0,23
1551000201,16,8,0,0,0,0,0,0,0,0,0,0,0,24
6160001119,10,2,0,0,0,0,0,1,0,0,0,0,3,16
6161441128,12,6,0,6,6,1,5,0,3,2,0,7,3,51
7170001101,18,10,6,5,6,5,6,6,6,3,6,7,3,87
7170001102,10,3,5,0,5,0,6,1,4,4,0,0,3,41
7170001103,20,12,6,6,6,6,6,6,6,6,6,7,7,100
7170001104,14,9,1,0,6,6,3,3,5,2,0,3,3,55
7170001105,12,9,0,6,6,0,5,3,5,5,1,3,3,58
7170001106,10,4,4,0,6,0,6,4,0,0,0,7,3,44
7170001107,18,6,0,6,6,1,3,1,4,6,0,3,3,57
7170001108,18,12,6,6,6,3,5,6,4,6,1,0,7,80
7170001109,18,2,5,0,0,6,6,0,3,0,0,3,3,46
7170001110,20,12,6,6,5,6,6,6,6,6,6,7,7,99
7170001111,10,8,5,5,3,6,6,3,6,5,0,3,3,63
7170001112,12,6,6,6,6,6,3,4,5,2,0,3,6,65
7170001113,18,12,6,6,6,3,6,3,6,3,0,7,4,80
7170001114,16,7,4,2,6,6,6,5,4,2,1,7,4,70
7170001115,14,3,5,5,5,2,5,6,3,6,0,4,3,61
7170001116,20,12,6,6,6,5,6,5,6,5,5,3,3,88
7170001117,8,4,5,1,5,0,0,0,0,0,0,0,3,26
7170001118,18,6,6,6,6,6,3,3,6,2,0,7,0,69
7170001119,10,0,0,4,5,0,2,0,0,0,0,3,3,27
7170001120,12,3,5,0,5,5,0,0,3,3,0,4,3,43
7170001121,16,8,6,6,6,6,4,4,3,6,0,7,0,72
7170001122,14,10,6,6,6,4,6,4,5,5,6,3,3,78
7170001123,14,0,0,0,0,1,1,0,4,2,0,3,3,28
7170001124,18,7,6,4,6,6,6,1,5,5,0,3,3,70
7170001125,16,5,6,6,3,2,3,0,4,0,0,0,3,48
7170001126,20,12,6,6,6,6,1,3,5,3,0,3,3,74
7170001127,8,0,0,1,5,2,3,0,5,3,0,4,3,34
7170001128,16,8,5,6,6,1,3,4,4,0,0,3,3,59
7170001129,8,0,0,0,0,0,0,0,0,0,0,0,0,8
7170001130,14,6,5,2,6,0,6,5,5,0,0,4,3,56
7170001313,16,12,6,6,6,3,6,4,6,6,6,3,7,87
7170001133,20,12,6,6,6,6,6,6,6,6,4,7,3,94
7170001134,18,9,6,6,6,6,6,2,6,6,0,7,7,85
7170001135,12,8,6,4,6,4,5,2,4,1,0,3,3,58
7170001136,16,5,0,0,5,0,1,0,6,0,0,3,3,39
7170001137,20,9,6,6,6,5,3,6,6,3,0,0,7,77
7170001138,20,12,6,6,6,6,6,6,6,5,6,3,3,91
7170001139,20,11,6,6,6,6,5,6,6,6,0,4,7,89
7170001140,14,0,3,2,0,0,6,1,4,3,0,3,3,39
7170001414,8,7,6,6,6,0,6,0,4,3,0,7,3,56
7170001142,14,8,6,6,6,3,5,2,5,6,5,4,3,73
7171000101,18,12,6,3,6,6,6,6,6,6,5,7,7,94
7171000102,16,12,6,6,6,0,6,6,5,6,6,3,3,81
7171000104,18,12,6,4,5,6,6,5,6,6,6,7,3,90
7171000105,18,10,0,2,6,3,6,3,5,3,2,3,3,64
7171000106,8,8,0,6,6,1,6,0,0,0,0,7,3,45
7171000107,14,2,0,6,6,3,1,3,4,0,0,3,3,45
7171000108,12,0,0,0,0,0,0,0,0,0,0,3,3,18
7171000109,14,6,6,2,1,0,3,4,6,0,0,3,3,48
7171000110,8,4,0,2,2,1,3,0,4,0,0,7,3,34
7171000111,18,10,4,6,6,0,6,3,6,5,6,7,4,81
7171000112,12,6,6,6,5,1,1,0,0,0,0,3,0,40
7171000113,20,12,6,6,6,6,6,6,6,6,6,7,0,93
7171000114,14,4,2,6,5,4,6,2,3,0,0,3,0,49
7171000115,6,0,0,0,0,0,0,0,0,0,0,0,3,9
7171000116,20,10,6,6,6,6,6,5,6,6,6,7,7,97
7171000117,10,2,4,4,5,0,3,3,2,0,0,3,3,39
7171000118,16,12,6,0,6,0,5,3,6,0,0,5,3,62
7171000119,12,4,0,0,0,0,0,0,0,0,0,0,3,19
7171000120,14,6,6,4,6,2,6,5,2,2,0,3,3,59
7171000121,14,6,6,6,6,0,6,6,6,3,6,4,3,72
7171000122,4,0,0,0,0,0,0,0,0,0,0,0,0,4
7171000123,14,10,6,6,6,6,6,6,4,6,4,3,3,80
7171000124,18,10,6,6,0,0,6,3,5,3,0,7,3,67
7171000125,10,0,0,0,0,0,0,0,0,0,0,0,3,13
7171000126,16,10,6,6,6,5,6,6,5,5,6,7,5,89
7171000127,14,6,6,3,6,0,6,0,4,0,6,7,3,61
7171000128,10,6,6,6,6,3,6,6,6,5,6,7,7,80
7171000129,16,10,6,6,6,6,3,3,6,3,3,7,3,78
7171000130,18,12,6,6,6,5,6,6,6,6,6,7,7,97
7171000313,16,11,6,6,6,2,3,6,6,5,6,7,7,87
7171000132,18,10,6,6,6,4,6,6,6,6,5,7,6,92
7171000133,16,10,6,6,6,6,6,6,6,6,5,7,7,93
7171000134,14,6,6,6,6,0,0,0,0,0,0,3,3,44
7171000135,12,4,2,6,5,1,3,0,5,0,0,3,3,44
7171000136,10,6,6,4,6,4,6,6,6,2,1,7,3,67
7171000137,16,10,6,0,6,0,6,6,5,2,6,4,7,74
7171000138,6,0,0,0,0,0,0,0,0,0,0,0,0,6
7171000139,12,10,6,6,6,2,6,3,5,6,3,5,3,73
7171000140,14,12,6,6,6,0,3,3,6,3,6,7,7,79
7171000201,14,2,2,6,5,0,3,0,3,0,0,3,3,41
7171000202,8,10,6,4,6,2,4,0,3,2,3,3,3,54
7171000203,16,10,6,6,6,4,1,6,6,5,5,7,3,81
7171000205,12,8,6,6,6,1,5,4,5,5,6,4,3,71
7171000206,16,8,6,0,6,2,3,0,3,3,5,7,3,62
7171000207,18,12,4,6,6,4,3,6,6,6,6,7,7,91
7171000208,10,8,2,6,5,1,3,0,4,2,0,3,3,47
7171000210,10,8,6,5,6,0,3,1,5,5,0,3,3,55
7171000211,12,4,0,4,6,6,6,2,3,3,0,0,3,49
7171000212,14,6,2,4,5,1,6,3,5,0,0,3,0,49
7171000213,10,8,0,5,6,5,6,0,5,6,5,3,4,63
7171000214,10,4,6,0,1,0,0,0,0,0,0,7,3,31
7171000215,18,12,6,6,6,6,6,4,5,6,3,3,6,87
7171000216,14,8,2,4,4,0,6,6,5,6,5,4,3,67
7171000217,18,10,6,6,6,4,6,6,6,6,5,4,7,90
7171000218,14,10,3,6,0,1,6,3,6,6,6,3,3,67
7171000219,12,4,6,4,5,0,0,0,0,0,0,3,3,37
7171000220,12,6,6,5,6,1,5,1,5,2,0,3,3,55
7171000221,12,6,4,4,4,0,6,0,0,0,0,3,6,45
7171000222,14,6,6,5,6,3,6,6,5,5,6,3,3,74
7171000223,16,10,6,6,6,0,6,5,6,6,6,3,7,83
7171000224,12,10,3,0,6,3,2,3,6,0,6,3,3,57
7171000225,18,8,6,6,6,0,3,3,6,3,4,7,3,73
7171000226,12,8,4,4,6,2,2,0,3,2,0,3,0,46
7171000227,10,10,2,3,6,6,6,3,6,5,5,3,3,68
7171000228,6,2,6,0,1,0,0,0,0,0,0,0,3,18
7171000229,14,8,3,6,5,4,6,4,5,6,1,3,3,68
7171000230,18,12,6,5,6,2,6,6,6,4,6,4,7,88
7171000231,10,2,4,6,6,4,3,0,6,2,0,3,7,53
7171000232,6,2,0,0,0,0,0,0,0,0,0,3,3,14
7171000233,20,12,6,6,5,6,6,3,5,6,3,7,5,90
7171000234,18,12,5,6,6,4,3,4,6,6,6,7,4,87
7171000235,16,8,1,6,6,6,6,4,5,3,6,3,3,73
7171000236,12,12,2,4,6,1,6,6,6,6,6,3,0,70
7171000237,18,6,5,6,6,6,6,5,6,6,6,7,6,89
7171000238,8,10,3,2,6,1,6,1,2,2,0,5,3,49
7171000239,12,10,5,4,6,0,6,3,6,3,6,7,4,72
7171000240,8,0,5,5,6,0,3,0,3,0,0,0,3,33
7171000301,18,12,6,6,6,1,6,1,6,6,3,5,3,79
7171000302,18,12,4,0,5,1,3,1,0,0,0,3,0,47
7171000303,16,8,6,4,6,0,5,0,5,0,0,7,3,60
7171000304,18,6,6,4,4,0,2,0,0,0,0,3,0,43
7171000305,16,10,6,6,6,6,6,3,6,5,6,7,7,90
7171000306,10,10,6,4,4,0,6,4,5,4,6,5,3,67
7171000308,20,10,6,6,6,6,6,6,6,6,6,7,4,95
7171000309,12,2,4,6,5,3,1,3,5,2,2,3,3,51
7171000310,18,10,6,6,6,4,6,3,6,6,6,7,4,88
7171000311,20,10,6,6,6,6,6,6,6,6,5,7,3,93
7171000312,20,10,6,6,6,0,6,4,6,6,6,7,7,90
7171000313,8,6,0,6,6,1,1,1,4,2,0,3,3,41
7171000314,16,10,6,6,6,0,6,6,6,5,6,4,3,80
7171000315,18,6,5,1,6,6,6,0,6,3,2,3,3,65
7171000316,2,0,0,0,0,0,1,0,0,0,0,0,3,6
7171000317,14,10,3,3,6,2,6,3,6,0,2,5,3,63
7171000318,16,12,6,6,6,6,6,1,4,2,6,7,4,82
7171000319,10,10,6,6,6,6,6,6,6,0,6,7,3,78
7171000320,14,10,6,6,6,0,6,3,3,5,6,3,3,71
7171000321,14,10,6,4,6,0,6,6,6,6,6,7,7,84
7171000322,16,10,6,6,6,5,3,6,6,6,5,7,3,85
7171000323,10,0,4,4,1,0,1,0,0,0,0,4,3,27
7171000324,20,10,6,6,6,6,6,5,6,6,6,7,7,97
7171000325,12,8,4,4,6,0,6,0,6,0,6,0,4,56
7171000326,16,8,6,6,6,6,6,6,6,6,6,3,7,88
7171000327,20,12,6,6,6,6,6,6,6,4,6,7,7,98
7171000328,10,4,6,6,6,6,6,4,5,3,5,3,3,67
7171000329,16,12,4,4,6,6,6,6,6,6,6,7,4,89
7171000330,8,4,6,0,6,0,4,0,4,2,0,4,4,42
7171000331,4,0,0,0,0,0,0,0,0,0,0,3,0,7
7171000332,12,4,0,2,6,0,2,0,3,2,3,3,3,40
7171000333,12,2,0,4,6,0,3,0,4,0,0,3,3,37
7171000334,12,10,6,6,4,2,3,5,6,5,6,3,3,71
7171000335,8,11,6,6,6,2,3,5,6,0,6,3,3,65
7171000336,16,10,6,4,6,6,6,1,6,6,6,7,3,83
7171000337,18,12,6,4,6,6,6,5,6,3,6,7,3,88
7171000338,14,6,3,6,6,2,6,6,5,5,5,7,3,74
7171000339,18,10,6,0,6,6,6,5,6,6,6,7,7,89
7171000340,8,12,6,6,6,4,6,4,5,2,6,7,3,75
7171000401,12,6,3,4,5,1,3,2,3,1,0,3,3,46
7171000402,10,1,0,0,0,1,3,1,4,0,0,3,3,26
7171000403,6,4,4,0,0,0,5,0,0,0,0,3,3,25
7171000404,10,8,4,2,6,6,6,3,6,0,0,3,3,57
7171000405,10,5,6,0,5,2,2,0,0,1,0,0,7,38
7171000406,12,6,4,6,5,2,6,1,6,0,0,7,7,62
7171000407,6,3,0,0,3,1,2,0,0,0,0,3,3,21
7171000408,12,7,0,0,6,6,3,1,0,1,0,3,3,42
7171000409,16,8,6,6,6,0,3,0,4,0,0,7,3,59
7171000410,8,1,0,0,0,0,0,0,0,0,0,0,3,12
7171000412,20,3,0,0,0,1,0,0,0,0,0,3,3,30
7171000413,20,7,6,6,5,5,6,4,6,5,4,3,4,81
7171000415,12,4,0,2,3,0,1,3,0,0,0,3,3,31
7171000416,6,5,2,2,5,0,0,0,0,0,0,7,3,30
7171000417,16,10,0,0,6,3,5,0,3,0,0,5,3,51
7171000418,12,8,2,0,6,0,3,0,6,0,0,7,3,47
7171000419,12,12,3,0,6,3,0,0,0,0,0,3,3,42
7171000420,8,0,0,0,0,0,0,0,0,0,0,0,3,11
7171000421,10,9,0,0,0,0,0,0,0,1,0,0,3,23
7171000422,20,10,6,6,6,6,6,5,6,6,6,7,7,97
7171000423,20,12,6,2,6,2,6,4,3,6,0,3,3,73
7171000424,20,12,6,6,6,4,6,4,6,6,6,7,3,92
7171000426,20,8,0,6,5,6,6,1,6,3,0,7,3,71
7171000427,14,8,6,6,6,6,6,0,6,0,0,7,4,69
7171000428,14,12,6,6,6,3,6,5,6,3,5,3,3,78
7171000429,12,12,3,0,6,2,3,1,5,3,0,3,3,53
7171000430,12,4,3,6,6,4,5,0,4,0,0,5,3,52
7171000431,12,10,6,0,6,5,6,3,6,3,0,3,3,63
7171000432,18,6,0,0,3,4,3,0,3,2,0,3,3,45
7171000433,16,10,6,4,6,1,6,5,6,0,0,3,7,70
7171000434,14,8,2,0,4,0,0,0,0,0,0,7,3,38
7171000435,12,2,1,0,4,0,0,0,0,0,0,0,3,22
7171000437,8,5,6,0,0,2,1,0,0,0,0,3,3,28
7171000438,12,3,1,2,5,3,6,0,0,0,0,3,3,38
7171000439,8,3,3,0,2,2,0,0,0,0,0,3,3,24
7171000440,8,6,6,1,6,4,6,3,5,3,2,7,3,60
7171000501,14,12,4,6,6,6,3,6,4,6,2,7,3,79
7171000503,18,10,3,3,2,5,6,4,5,6,5,4,3,74
7171000504,10,6,2,0,6,0,0,0,0,0,0,3,3,30
7171000505,18,12,6,6,6,6,6,6,6,6,6,7,7,98
7171000506,18,5,6,6,6,6,6,0,6,0,0,3,7,69
7171000507,18,4,6,5,6,0,0,0,0,0,0,0,0,39
7171000508,16,6,6,5,6,1,3,1,3,0,0,3,4,54
7171000509,20,5,4,4,5,1,5,6,6,0,0,0,0,56
7171000510,20,12,6,6,6,5,6,6,6,6,5,7,7,98
7171000511,18,10,6,4,6,0,3,6,6,3,0,3,3,68
7171000512,16,12,6,2,6,6,6,6,6,6,2,4,3,81
7171000513,14,8,3,2,6,1,2,0,6,0,0,5,3,50
7171000514,4,0,0,0,0,0,0,0,0,0,0,0,3,7
7171000515,12,10,1,6,6,5,5,0,6,3,0,7,4,65
7171000517,16,10,6,5,6,6,6,5,6,6,6,7,6,91
7171000518,16,6,5,5,6,1,3,0,6,0,0,3,3,54
7171000519,14,7,4,6,5,3,3,3,6,6,0,3,3,63
7171000520,8,7,4,0,6,6,6,0,4,3,0,7,3,54
7171000521,16,8,1,6,5,3,3,6,6,3,2,3,3,65
7171000522,18,6,0,2,0,5,6,0,4,0,0,0,0,41
7171000524,12,6,0,0,0,0,6,0,6,0,0,7,3,40
7171000525,8,0,4,2,0,0,0,0,0,0,0,3,3,20
7171000526,8,4,0,2,5,2,6,0,4,0,0,3,3,37
7171000527,18,10,0,2,6,3,6,4,6,2,0,7,0,64
7171000528,8,4,0,2,6,0,4,0,4,0,0,3,3,34
7171000529,14,8,2,6,1,5,6,2,4,5,0,5,4,62
7171000530,16,8,1,6,5,1,5,1,4,0,3,3,3,56
7171000531,18,9,6,1,6,2,3,1,4,2,5,5,3,65
7171000532,16,8,6,6,0,6,6,4,5,1,2,3,0,63
7171000533,10,4,0,0,0,6,2,2,0,1,0,0,3,28
7171000534,14,10,1,6,5,5,6,5,6,0,6,0,3,67
7171000535,18,7,4,6,6,2,6,1,6,0,0,3,3,62
7171000536,20,10,4,0,6,2,3,3,5,5,5,4,3,70
7171000537,20,8,0,6,6,2,3,4,6,6,0,3,3,67
7171000538,20,12,6,4,6,6,6,6,6,6,6,7,7,98
7171000539,20,9,3,6,6,6,3,5,6,3,6,3,6,82
7171000540,20,10,6,0,6,5,3,5,6,0,0,3,3,67
7171000601,14,1,0,0,0,6,0,0,2,0,0,0,3,26
7171000602,14,11,0,6,0,0,0,0,0,0,0,0,3,34
7171000603,18,11,6,6,6,6,6,6,6,6,6,7,7,97
7171000604,12,8,6,5,0,0,3,1,3,3,0,0,3,44
7171000605,16,10,0,0,0,0,0,0,0,0,0,3,3,32
7171000606,12,9,4,5,0,2,3,3,5,0,0,5,3,51
7171000607,16,11,6,6,6,0,6,6,6,6,6,4,7,86
7171000608,14,6,6,6,6,0,6,6,0,5,6,0,0,61
7171000609,16,6,0,0,6,6,3,0,6,6,0,3,3,55
7171000610,14,7,2,6,5,6,3,2,6,5,0,3,3,62
7171000612,2,0,0,0,0,0,0,0,0,0,0,0,0,2
7171000613,18,10,6,0,0,6,2,6,6,6,5,7,3,75
7171000614,14,6,6,6,6,3,6,1,6,4,0,3,3,64
7171000615,10,8,6,6,5,6,6,0,6,5,6,5,5,74
7171000616,18,8,6,1,6,6,3,6,6,5,5,4,7,81
7171000618,18,3,3,0,0,0,0,0,0,0,0,3,3,30
7171000619,18,5,0,0,1,0,0,0,0,0,0,0,3,27
7171000620,20,5,6,6,5,6,6,6,3,0,0,3,3,69
7171000621,10,5,2,0,6,1,5,5,4,3,0,5,3,49
7171000622,12,4,1,0,6,3,0,0,0,0,0,4,3,33
7171000623,16,6,0,0,4,0,0,0,0,0,0,0,3,29
7171000624,12,8,6,5,0,6,6,3,5,6,0,5,7,69
7171000625,14,5,4,0,6,6,2,1,0,0,0,3,3,44
7171000626,8,5,4,0,6,2,5,4,4,0,0,3,3,44
